dataset,exp_name,time_cost
california,abs_5_10_random_random,"0 m, 7.89 s"
california,abs_5_10_random_sort,"0 m, 5.54 s"
california,abs_5_10_random_prob,"0 m, 5.45 s"
california,abs_5_10_sort_random,"0 m, 6.85 s"
california,abs_5_10_sort_sort,"0 m, 6.69 s"
california,abs_5_10_sort_prob,"0 m, 6.45 s"
california,abs_5_10_full_random,"0 m, 6.59 s"
california,abs_5_10_full_sort,"0 m, 6.94 s"
california,abs_5_10_full_prob,"0 m, 7.11 s"
california,abs_10_5_random_random,"0 m, 6.36 s"
california,abs_10_5_random_sort,"0 m, 6.40 s"
california,abs_10_5_random_prob,"0 m, 6.40 s"
california,abs_10_5_sort_random,"0 m, 5.52 s"
california,abs_10_5_sort_sort,"0 m, 7.45 s"
california,abs_10_5_sort_prob,"0 m, 5.75 s"
california,abs_10_5_full_random,"0 m, 4.86 s"
california,abs_10_5_full_sort,"0 m, 6.46 s"
california,abs_10_5_full_prob,"0 m, 6.62 s"
california,abs_10_10_random_random,"0 m, 12.95 s"
california,abs_10_10_random_sort,"0 m, 14.44 s"
california,abs_10_10_random_prob,"0 m, 12.73 s"
california,abs_10_10_sort_random,"0 m, 11.13 s"
california,abs_10_10_sort_sort,"0 m, 10.25 s"
california,abs_10_10_sort_prob,"0 m, 10.64 s"
california,abs_10_10_full_random,"0 m, 11.62 s"
california,abs_10_10_full_sort,"0 m, 11.70 s"
california,abs_10_10_full_prob,"0 m, 12.14 s"
california,abs_interaction_5_5_random_random,"0 m, 4.09 s"
california,abs_interaction_5_5_random_sort,"0 m, 3.46 s"
california,abs_interaction_5_5_random_prob,"0 m, 3.53 s"
california,abs_interaction_5_5_sort_random,"0 m, 4.25 s"
california,abs_interaction_5_5_sort_sort,"0 m, 4.33 s"
california,abs_interaction_5_5_sort_prob,"0 m, 4.85 s"
california,abs_interaction_5_5_full_random,"0 m, 3.37 s"
california,abs_interaction_5_5_full_sort,"0 m, 3.08 s"
california,abs_interaction_5_5_full_prob,"0 m, 3.31 s"
california,abs_interaction_5_10_random_random,"0 m, 6.07 s"
california,abs_interaction_5_10_random_sort,"0 m, 6.04 s"
california,abs_interaction_5_10_random_prob,"0 m, 6.31 s"
california,abs_interaction_5_10_sort_random,"0 m, 7.10 s"
california,abs_interaction_5_10_sort_sort,"0 m, 5.75 s"
california,abs_interaction_5_10_sort_prob,"0 m, 5.73 s"
california,abs_interaction_5_10_full_random,"0 m, 5.86 s"
california,abs_interaction_5_10_full_sort,"0 m, 7.66 s"
california,abs_interaction_5_10_full_prob,"0 m, 6.99 s"
california,abs_interaction_10_5_random_random,"0 m, 6.62 s"
california,abs_interaction_10_5_random_sort,"0 m, 7.93 s"
california,abs_interaction_10_5_random_prob,"0 m, 5.14 s"
california,abs_interaction_10_5_sort_random,"0 m, 6.82 s"
california,abs_interaction_10_5_sort_sort,"0 m, 6.97 s"
california,abs_interaction_10_5_sort_prob,"0 m, 6.56 s"
california,abs_interaction_10_5_full_random,"0 m, 6.27 s"
california,abs_interaction_10_5_full_sort,"0 m, 5.93 s"
california,abs_interaction_10_5_full_prob,"0 m, 6.45 s"
california,abs_interaction_10_10_random_random,"0 m, 12.04 s"
california,abs_interaction_10_10_random_sort,"0 m, 11.17 s"
california,abs_interaction_10_10_random_prob,"0 m, 12.92 s"
