dataset,exp_name,time_cost
boston,ratio_10_5_random_sort,"0 m, 4.92 s"
boston,ratio_10_5_random_prob,"0 m, 4.93 s"
boston,ratio_10_5_sort_random,"0 m, 4.93 s"
boston,ratio_10_5_sort_sort,"0 m, 4.87 s"
boston,ratio_10_5_sort_prob,"0 m, 4.88 s"
boston,ratio_10_5_full_random,"0 m, 4.91 s"
boston,ratio_10_5_full_sort,"0 m, 4.85 s"
boston,ratio_10_5_full_prob,"0 m, 4.87 s"
boston,ratio_10_10_random_random,"0 m, 9.81 s"
boston,ratio_10_10_random_sort,"0 m, 9.95 s"
boston,ratio_10_10_random_prob,"0 m, 9.64 s"
boston,ratio_10_10_sort_random,"0 m, 9.83 s"
boston,ratio_10_10_sort_sort,"0 m, 9.69 s"
boston,ratio_10_10_sort_prob,"0 m, 9.66 s"
boston,ratio_10_10_full_random,"0 m, 9.68 s"
boston,ratio_10_10_full_sort,"0 m, 9.62 s"
boston,ratio_10_10_full_prob,"0 m, 9.70 s"
california,abs_5_5_random_random,"0 m, 3.97 s"
california,abs_5_5_random_sort,"0 m, 3.68 s"
california,abs_5_5_random_prob,"0 m, 3.93 s"
california,abs_5_5_sort_random,"0 m, 4.41 s"
california,abs_5_5_sort_sort,"0 m, 4.78 s"
california,abs_5_5_sort_prob,"0 m, 4.60 s"
california,abs_5_5_full_random,"0 m, 5.02 s"
california,abs_5_5_full_sort,"0 m, 4.57 s"
california,abs_5_5_full_prob,"0 m, 5.08 s"
california,abs_5_10_random_random,"0 m, 9.14 s"
california,abs_5_10_random_sort,"0 m, 10.60 s"
california,abs_5_10_random_prob,"0 m, 8.18 s"
california,abs_5_10_sort_random,"0 m, 8.18 s"
california,abs_5_10_sort_sort,"0 m, 8.17 s"
california,abs_5_10_sort_prob,"0 m, 8.50 s"
california,abs_5_10_full_random,"0 m, 11.31 s"
california,abs_5_10_full_sort,"0 m, 9.31 s"
california,abs_5_10_full_prob,"0 m, 8.34 s"
california,abs_10_5_random_random,"0 m, 5.39 s"
california,abs_10_5_random_sort,"0 m, 9.03 s"
california,abs_10_5_random_prob,"0 m, 7.05 s"
california,abs_10_5_sort_random,"0 m, 5.73 s"
california,abs_10_5_sort_sort,"0 m, 6.52 s"
california,abs_10_5_sort_prob,"0 m, 7.01 s"
california,abs_10_5_full_random,"0 m, 5.58 s"
california,abs_10_5_full_sort,"0 m, 6.85 s"
california,abs_10_5_full_prob,"0 m, 7.22 s"
california,abs_10_10_random_random,"0 m, 13.55 s"
california,abs_10_10_random_sort,"0 m, 13.59 s"
california,abs_10_10_random_prob,"0 m, 13.41 s"
california,abs_10_10_sort_random,"0 m, 14.39 s"
california,abs_10_10_sort_sort,"0 m, 14.22 s"
california,abs_10_10_sort_prob,"0 m, 12.65 s"
california,abs_10_10_full_random,"0 m, 12.02 s"
california,abs_10_10_full_sort,"0 m, 14.68 s"
california,abs_10_10_full_prob,"0 m, 15.06 s"
california,abs_interaction_5_5_random_random,"0 m, 4.79 s"
california,abs_interaction_5_5_random_sort,"0 m, 4.20 s"
california,abs_interaction_5_5_random_prob,"0 m, 3.37 s"
california,abs_interaction_5_5_sort_random,"0 m, 3.60 s"
california,abs_interaction_5_5_sort_sort,"0 m, 3.84 s"
california,abs_interaction_5_5_sort_prob,"0 m, 4.90 s"
california,abs_interaction_5_5_full_random,"0 m, 5.20 s"
california,abs_interaction_5_5_full_sort,"0 m, 5.04 s"
california,abs_interaction_5_5_full_prob,"0 m, 5.81 s"
california,abs_interaction_5_10_random_random,"0 m, 8.76 s"
california,abs_interaction_5_10_random_sort,"0 m, 7.94 s"
california,abs_interaction_5_10_random_prob,"0 m, 8.07 s"
california,abs_interaction_5_10_sort_random,"0 m, 8.30 s"
california,abs_interaction_5_10_sort_sort,"0 m, 7.77 s"
california,abs_interaction_5_10_sort_prob,"0 m, 7.85 s"
california,abs_interaction_5_10_full_random,"0 m, 7.68 s"
california,abs_interaction_5_10_full_sort,"0 m, 7.40 s"
california,abs_interaction_5_10_full_prob,"0 m, 6.40 s"
california,abs_interaction_10_5_random_random,"0 m, 6.14 s"
california,abs_interaction_10_5_random_sort,"0 m, 6.53 s"
california,abs_interaction_10_5_random_prob,"0 m, 6.73 s"
california,abs_interaction_10_5_sort_random,"0 m, 6.65 s"
california,abs_interaction_10_5_sort_sort,"0 m, 8.72 s"
california,abs_interaction_10_5_sort_prob,"0 m, 7.50 s"
california,abs_interaction_10_5_full_random,"0 m, 6.13 s"
california,abs_interaction_10_5_full_sort,"0 m, 7.33 s"
california,abs_interaction_10_5_full_prob,"0 m, 6.37 s"
california,abs_interaction_10_10_random_random,"0 m, 12.06 s"
california,abs_interaction_10_10_random_sort,"0 m, 13.34 s"
california,abs_interaction_10_10_random_prob,"0 m, 13.92 s"
california,abs_interaction_10_10_sort_random,"0 m, 12.14 s"
california,abs_interaction_10_10_sort_sort,"0 m, 12.16 s"
california,abs_interaction_10_10_sort_prob,"0 m, 12.90 s"
california,abs_interaction_10_10_full_random,"0 m, 11.78 s"
california,abs_interaction_10_10_full_sort,"0 m, 15.65 s"
california,abs_interaction_10_10_full_prob,"0 m, 12.04 s"
california,ratio_5_5_random_random,"0 m, 4.09 s"
california,ratio_5_5_random_sort,"0 m, 4.59 s"
california,ratio_5_5_random_prob,"0 m, 3.84 s"
california,ratio_5_5_sort_random,"0 m, 3.89 s"
california,ratio_5_5_sort_sort,"0 m, 3.80 s"
california,ratio_5_5_sort_prob,"0 m, 3.61 s"
california,ratio_5_5_full_random,"0 m, 4.31 s"
california,ratio_5_5_full_sort,"0 m, 4.90 s"
california,ratio_5_5_full_prob,"0 m, 4.28 s"
california,ratio_5_10_random_random,"0 m, 6.42 s"
california,ratio_5_10_random_sort,"0 m, 7.55 s"
california,ratio_5_10_random_prob,"0 m, 7.57 s"
california,ratio_5_10_sort_random,"0 m, 6.81 s"
california,ratio_5_10_sort_sort,"0 m, 6.88 s"
california,ratio_5_10_sort_prob,"0 m, 6.64 s"
california,ratio_5_10_full_random,"0 m, 6.35 s"
california,ratio_5_10_full_sort,"0 m, 8.44 s"
